Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 10,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,95373,CAMEL 1165,,-19.9352,64.00000,nacional
Mini Fabrica - 10,187571,TECIDO XANGAI(ACT 0/I 25)+ ESPUM,,103332,CHUMBO 1321,,-47.3806,30.00000,nacional
Mini Fabrica - 10,188721,TECIDO MARAGOGI(ACT 0/I 25)+ ESP,,32908,PRETO 01/CINZ,,-2.8164,45.70000,nacional
Mini Fabrica - 10,192734,TECIDO XANGAI(ACT O/I 25)+SARJA,,15758,PRETO 01/PRET,,-106.1036,61.00000,nacional
Mini Fabrica - 10,195878,NAPA VELUNA 0.9 (MD O/I 26) - IMPO,,15758,PRETO 01/PRET,,-11.689,18.70000,nacional
Mini Fabrica - 10,195878,NAPA VELUNA 0.9 (MD O/I 26) - IMPO,,106878,CHOCOLATE,,-7.6912,25.00000,nacional
Mini Fabrica - 10,197280,CAMURCAO LONDON PU 1.2 (V O/I 2,,15745,PRETO 01,,-1.5812,60.50000,nacional
Mini Fabrica - 10,197280,CAMURCAO LONDON PU 1.2 (V O/I 2,,101439,CACAU 1277,,-5.5478,30.00000,nacional
Mini Fabrica - 10,197280,CAMURCAO LONDON PU 1.2 (V O/I 2,,106596,CARAMELO 14,,-2.9784,10.00000,nacional
Mini Fabrica - 10,201688,TECIDO GAIA (ACT O/I25),,93237,MARINHO 1128,,-3.0464,37.00000,nacional
Mini Fabrica - 10,202067,TECIDO SUBLIME 160GR+ ESP D26 3,,16143,PRETO 01/PRET 22,,-18.056,25.00000,nacional
Mini Fabrica - 26,44187,CACHAREL SOFT(B P/V 11/12)+ESP PU,,15745,PRETO 01,,-3.0445,177.00000,nacional
Mini Fabrica - 26,44187,CACHAREL SOFT(B P/V 11/12)+ESP PU,,89673,TAN 1080,,-46.8335,642.00000,nacional
Mini Fabrica - 26,56577,FORRO MILANO PU 0.7(B O/I 2014),,52531,NUDE 658,,-13.3672,150.00000,nacional
Mini Fabrica - 26,56577,FORRO MILANO PU 0.7(B O/I 2014),,95373,CAMEL 1165,,-1.0355,57.00000,nacional
Mini Fabrica - 26,58702,FORRO CACHAREL CONFORT(MD O/I,,29452,BEGE 435,,-4.4406,575.60000,nacional
Mini Fabrica - 26,67345,NAPA TURIM PU 1.0 + SARJA 7030/40,,105897,OSTRA 1431/C,,-17.9832,30.40000,nacional
Mini Fabrica - 26,67345,NAPA TURIM PU 1.0 + SARJA 7030/40,,107823,OLIVE 1469/CR,,-0.3985,25.00000,nacional
Mini Fabrica - 26,94157,NAPA TURIM PU 1.0+VELVET,,95701,CAMEL 1165/CR,,-5.522,61.20000,nacional
Mini Fabrica - 26,114196,NAPA PELE STRECH PU 1.0 (MD O/I 2,,53180,NUDE 658/CREM,,-0.72,36.40000,nacional
Mini Fabrica - 26,143760,METALIZADO LONDON PU 0.9+BASE,,15787,PRETO 01/PRET,,-1.872,1.20000,nacional
Mini Fabrica - 26,185735,NAPA RELAX PU 2.0 (MD O/I 25) -IM,,35312,BRANCO OFF,,-23.3061,50.00000,nacional
Mini Fabrica - 26,185735,NAPA RELAX PU 2.0 (MD O/I 25) -IM,,108729,TERRACOTA,,-36.2921,50.00000,nacional
Mini Fabrica - 26,187451,NYLON KANSAS(ACT O/I22)+ESPUMA,,41291,BEGE 435/BRAN,,-24.48,71.50000,nacional
Mini Fabrica - 26,200476,NAPA TRESSE TORONTO PU 0.9 (B P,,15758,PRETO 01/PRET,,-6.4744,10.40000,nacional
Mini Fabrica - 10,34062,PANO P/ REFORCO CR 150,,0,SEM COR,,-843.95995,3824.10000,nacional
Mini Fabrica - 10,44187,CACHAREL SOFT(B P/V 11/12)+ESP PU,,15745,PRETO 01,,-863.795,173.00000,nacional
Mini Fabrica - 10,56577,FORRO MILANO PU 0.7(B O/I 2014),,15745,PRETO 01,,-11.1226,496,substituto
Mini Fabrica - 10,56577,FORRO MILANO PU 0.7(B O/I 2014),,29452,BEGE 435,,-14.3707,251,substituto
Mini Fabrica - 10,58702,FORRO CACHAREL CONFORT(MD O/I,,15745,PRETO 01,,-672.4116,337.90000,nacional
Mini Fabrica - 10,58702,FORRO CACHAREL CONFORT(MD O/I,,29452,BEGE 435,,-809.3716,553.60000,nacional
Mini Fabrica - 10,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,101321,CHOCOLATE,,-0.5496,40.00000,nacional
Mini Fabrica - 10,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,105704,OSTRA 1431,,-0.5496,68.00000,nacional
Mini Fabrica - 10,70727,CAMURCAO PU 1.2 (M O/I 2016),,33300,MARINHO 488,,-3.5328,30,substituto
Mini Fabrica - 10,70727,CAMURCAO PU 1.2 (M O/I 2016),,65835,CINZA 788,,-5.218,30,substituto
Mini Fabrica - 10,81554,NAPA FLOTER RUSTICO NEO 1.4(MLK,,15787,PRETO 01/PRET,,-27.8164,16.40000,nacional
Mini Fabrica - 10,81554,NAPA FLOTER RUSTICO NEO 1.4(MLK,,93868,BRANCO OFF,,-9.86,1.70000,nacional
Mini Fabrica - 10,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2,,15745,PRETO 01,,-361.1552,717,substituto
Mini Fabrica - 10,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2,,101321,CHOCOLATE,,-112.0288,32,substituto
Mini Fabrica - 10,111581,FORRO PELE STRECH P.U 0.7+ESPU,,65193,BEGE 435/ BRA,,-2.1184,6.50000,nacional
Mini Fabrica - 10,112008,NAPA PELE STRECH PU 1.0 (MD O/I 2,,15758,PRETO 01/PRET,,-127.52917,3.00000,nacional
Mini Fabrica - 10,112008,NAPA PELE STRECH PU 1.0 (MD O/I 2,,90037,TAN 1080/CRU,,-45.5408,25.00000,nacional
Mini Fabrica - 10,120736,"ESPUMA PU 6,5MM D.60",,1,BRANCO,,-87.86332,104.00000,nacional
Mini Fabrica - 10,128939,NAPA FLOATHER NATURE PU 1.0 (M,,15758,PRETO 01/PRET,,-34.88852,14.00000,nacional
Mini Fabrica - 10,128939,NAPA FLOATHER NATURE PU 1.0 (M,,35324,BRANCO OFF,,-5.8212,77.80000,nacional
Mini Fabrica - 10,128939,NAPA FLOATHER NATURE PU 1.0 (M,,52568,NUDE 658/CRU,,-2.3524,18.00000,nacional
Mini Fabrica - 10,128939,NAPA FLOATHER NATURE PU 1.0 (M,,84042,CREME 985/CR,,-0.298,49.00000,nacional
Mini Fabrica - 10,138672,NAPA FLOATHER NATURE PU 1.0 (M,,15787,PRETO 01/PRET,,-120.12363,18.00000,nacional
Mini Fabrica - 10,138672,NAPA FLOATHER NATURE PU 1.0 (M,,41492,BEGE 435/CREM,,-116.2308,30.10000,nacional
Mini Fabrica - 10,138672,NAPA FLOATHER NATURE PU 1.0 (M,,100604,AVELA 1248/C,,-17.04223,4.00000,nacional
Mini Fabrica - 10,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,59778,PRETO/BRANCO,,-294.96226,238.50000,nacional
Mini Fabrica - 10,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,93368,MARINHO 1128,,-12.87639,46.50000,nacional
Mini Fabrica - 10,152117,NAPA FLOTER RUSTICO NEO 1.4(ML,,93244,BRANCO OFF,,-0.5473,1.00000,nacional
Mini Fabrica - 10,153726,BIDIN CB 2030/R,,19161,BRANCO 15,,-219.5783,29.5676,substituto
Mini Fabrica - 10,157666,TECIDO ADTERM CH 180 C CONFOR,,15745,PRETO 01,,-78.188,341.00000,nacional
Mini Fabrica - 10,161023,TECIDO VELVET (M O/I 15)+FILME 38,,15745,PRETO 01,,-81.9096,147.00000,nacional
Mini Fabrica - 10,161023,TECIDO VELVET (M O/I 15)+FILME 38,,35313,CREME 516,,-0.8016,70.00000,nacional
Mini Fabrica - 10,164097,NAPA FLOATHER CLASSIC NEO 1.45,,15745,PRETO 01,,-9.8316,7.00000,nacional
Mini Fabrica - 10,172896,NAPA BERLIM PU 1.2+TECIDO LECC,,15758,PRETO 01/PRET,,-360.7273,390.30000,nacional
Mini Fabrica - 10,173406,GASPEA LOC PESARO(ACT 0/I 24) L.,PAR,15745,PRETO 01,2,-95.0,210.00000,nacional
Mini Fabrica - 10,174077,NAPA SUPREMA PU 0.9 (MD O/I 25)+E,,25405,PRETO 01/BRAN,,-235.598,20.00000,nacional
Mini Fabrica - 10,174077,NAPA SUPREMA PU 0.9 (MD O/I 25)+E,,26485,BRANCO 99/BR,,-66.774,5.00000,nacional
Mini Fabrica - 10,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,95373,CAMEL 1165,,-32.1248,31.00000,nacional
Mini Fabrica - 10,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,95373,CAMEL 1165,,,,nacional
Mini Fabrica - 10,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,107610,OLIVE 1469,,-9.5372,3.00000,nacional
Mini Fabrica - 10,187571,TECIDO XANGAI(ACT 0/I 25)+ ESPUM,,32908,PRETO 01/CINZ,,-11.2695,45.00000,nacional
Mini Fabrica - 10,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BA,,101646,CHOCOLATE,,-5.8958,14.00000,nacional
Mini Fabrica - 10,194041,TECIDO ADTERM CH 120 C CB CONF,,15745,PRETO 01,,-123.9413,8.00000,nacional
Mini Fabrica - 10,195878,NAPA VELUNA 0.9 (MD O/I 26) - IMPO,,106878,CHOCOLATE,,-53.4108,4.00000,nacional
Mini Fabrica - 10,195878,NAPA VELUNA 0.9 (MD O/I 26) - IMPO,,109066,CASTANHO 14,,-65.4004,28.40000,nacional
Mini Fabrica - 34,81379,CACHAREL SPORT (MLK O/I 17)+ESP,,15745,PRETO 01,,-1.6822,360.10000,nacional
Mini Fabrica - 34,81379,CACHAREL SPORT (MLK O/I 17)+ESP,,93237,MARINHO 1128,,-96.54948,60.20000,nacional
Mini Fabrica - 34,81554,NAPA FLOTER RUSTICO NEO 1.4(MLK,,15787,PRETO 01/PRET,,-0.6022,16.40000,nacional
Mini Fabrica - 34,120736,"ESPUMA PU 6,5MM D.60",,1,BRANCO,,-44.1224,104.00000,nacional
Mini Fabrica - 34,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,59778,PRETO/BRANCO,,-863.11635,238.50000,nacional
Mini Fabrica - 34,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,93368,MARINHO 1128,,-9.5536,46.50000,nacional
Mini Fabrica - 34,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,93484,BRANCO OFF,,-53.11759,5.00000,nacional
Mini Fabrica - 34,153726,BIDIN CB 2030/R,,19161,BRANCO 15,,-467.6253,29.5676,substituto
Mini Fabrica - 34,194041,TECIDO ADTERM CH 120 C CB CONF,,15745,PRETO 01,,-41.6957,8.00000,nacional
Mini Fabrica - 6,56577,FORRO MILANO PU 0.7(B O/I 2014),,35312,BRANCO OFF 526,,-7.896,0.00000,nacional
Mini Fabrica - 6,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,-0.724,0.00000,nacional
Mini Fabrica - 6,73034,NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0,,101646,CHOCOLATE 1271/PRETO,,-0.602,0.00000,nacional
Mini Fabrica - 6,73824,SARJA 220 GR 100% ALGODAO+ FILME 50 MICRAS,,15745,PRETO 01,,-0.085,0.00000,nacional
Mini Fabrica - 6,73824,SARJA 220 GR 100% ALGODAO+ FILME 50 MICRAS,,17228,CRU 20,,-0.028,0.00000,nacional
Mini Fabrica - 6,128938,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21),,95373,CAMEL 1165,,-5.0,0.00000,nacional
Mini Fabrica - 6,128939,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40,,104066,AZUL SKY 1395/CRU 20,,-0.415,0.00000,nacional
Mini Fabrica - 6,145635,NAPA FLOATHER NATURE PU 1.0+VELVET+FORRO SOFT CONFORTO PU 0.7,,101182,VERDE 1270/CREME 516/BEGE 435,,-0.07,0.00000,nacional
Mini Fabrica - 6,149602,CAMURCA STRECH DUO + VELVET (MD O/I /23),,15787,PRETO 01/PRETO,,-4.038,0.00000,nacional
Mini Fabrica - 6,187451,NYLON KANSAS(ACT O/I22)+ESPUMA D501 3MM+CACHAREL 120GR,,106860,AVELA 1248/BRANCO 15/CREME 516,,-16.76,0.00000,nacional
Mini Fabrica - 6,192842,BRILHO ITALIA PU 0.9 (P/V 25/26)+BASE FLEX,,34788,DOURADO/BISCOITO,,-1.628,0.00000,nacional
Mini Fabrica - 6,195876,NAPA TRESSE BERLIM PU 1.2 (MD O/I 26),,100196,AVELA 1248,,-4.0,0.00000,nacional
Mini Fabrica - 6,202378,"NAPA ESSELENCE PU 0.9+SARJA 7030+SPO40G+ESP.PU2,5 D30+CACHAREL CONFORT",,16143,PRETO 01/PRETO 01/PRETO 01,,-2.5,0.00000,nacional
Mini Fabrica - 6,202643,NAPA SOFT MADRI PU 1.0 (V O/I 23/24)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-1.362,0.00000,nacional
Mini Fabrica - 9,48926,CAMURCA FLEX 0.30+BASE FLEX 1.0 (P/V 12/13),,96142,CAMEL 1165/BISCOITO,,-0.759,0.00000,nacional
Mini Fabrica - 9,56427,PELICA PU 1.0 (V O/I 2014),,35312,BRANCO OFF 526,,-32.424,0.00000,nacional
Mini Fabrica - 9,56427,PELICA PU 1.0 (V O/I 2014),,95373,CAMEL 1165,,-0.178,0.00000,nacional
Mini Fabrica - 9,56427,PELICA PU 1.0 (V O/I 2014),,104068,MOCCA 1398,,-1.63,0.00000,nacional
Mini Fabrica - 9,60121,CAMURCA FLEX 0.30+FLANELA 475/11 0.40,,95810,CAMEL 1165/CRU 20,,-0.293,0.00000,nacional
Mini Fabrica - 9,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,-35.307,0.00000,nacional
Mini Fabrica - 9,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101992,VERDE LUNA 1256/CRU 20,,-8.573,0.00000,nacional
Mini Fabrica - 9,73034,NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0,,107768,TERRACOTA 1477/BISCOITO,,-0.706,0.00000,nacional
Mini Fabrica - 9,84549,VERNIZ PREMIUM PU 1.0 (M/MD O/I 2017),,101321,CHOCOLATE 1271,,-5.246,0.00000,nacional
Mini Fabrica - 9,112853,"FORRO SOFT CONFORTO PU 0.7(MD P/V 18/19)+ESPUMA PU 6,5MM D.60+SPONLACE 30GR",,29497,BEGE 435/BRANCO 15,,-41.478,0.00000,nacional
Mini Fabrica - 9,128939,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40,,18215,BRANCO 99/CRU 20,,-1.263,0.00000,nacional
Mini Fabrica - 9,128939,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40,,73437,CAFE 856/PRETO 01,,-1.027,0.00000,nacional
Mini Fabrica - 9,138672,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET,,36126,BRANCO OFF 526/CREME 516,,-3.917,0.00000,nacional
Mini Fabrica - 9,138672,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET,,53180,NUDE 658/CREME 516,,-27.831,0.00000,nacional
Mini Fabrica - 9,143760,METALIZADO LONDON PU 0.9+BASE FLEX,,15787,PRETO 01/PRETO,,-0.086,0.00000,nacional
Mini Fabrica - 9,169103,NAPA CALF PU 0.9 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,104323,MOCCA 1398/BRANCO 15/CAMEL 408,,-0.012,0.00000,nacional
Mini Fabrica - 9,196639,NAPA VELUNA 0.9 (MD O/I 26) - IMPORTADO+ SARJA 7030/40,,15758,PRETO 01/PRETO 01,,-7.808,0.00000,nacional
Mini Fabrica - 9,196770,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25),,96942,MULTI CAMEL 1165,,-7.386,0.00000,nacional
Mini Fabrica - 10,58623,FORRO MILANO PU 0.7(B O/I 2014)+FILME TPU SC 50,,15745,PRETO 01,,-6.485,0.00000,nacional
Mini Fabrica - 10,80451,CAMURCAO PU 1.2 (M O/I 2016)+FILME SC 50,,93249,AREIA 1137,,-21.592,0.00000,nacional
Mini Fabrica - 10,81298,NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17),,93249,AREIA 1137,,-2.712,0.00000,nacional
Mini Fabrica - 10,112853,"FORRO SOFT CONFORTO PU 0.7(MD P/V 18/19)+ESPUMA PU 6,5MM D.60+SPONLACE 30GR",,29497,BEGE 435/BRANCO 15,,-18.332,0.00000,nacional
Mini Fabrica - 10,157751,FORRO MILANO PU 0.7(B O/I 2014)+FILME PA 102/18,,15745,PRETO 01,,-9.477,0.00000,nacional
Mini Fabrica - 10,166687,NAPA FLOATHER CLASSIC NEO 1.45(ACT P/V 22/23)+VELVET 0.50,,15758,PRETO 01/PRETO 01,,-1.969,0.00000,nacional
Mini Fabrica - 10,168353,FILME PVC AUSTRALIA 0.60MM(ACT P/V 21/22)+FILME FA7300 100 MICRAS,,106717,IRON 1452,,-0.362,0.00000,nacional
Mini Fabrica - 10,170196,NYLON FREE SPORT+DUPLAFRONTURA SPACER SOLAR STR XX I8U 245G,,101082,AREIA 1137/BRANCO,,-1.976,0.00000,nacional
Mini Fabrica - 10,172896,NAPA BERLIM PU 1.2+TECIDO LECCE,,84081,CAFE 987/PRETO 01,,-176.179,0.00000,nacional
Mini Fabrica - 10,187352,NAPA FLOATHER VENEZIA PU 0.9 (MD O/I 25)+VELVET,,36126,BRANCO OFF 526/CREME 516,,-20.0,0.00000,nacional
Mini Fabrica - 10,187571,"TECIDO XANGAI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,103332,CHUMBO 1321/CINZA/PRETO 01,,-47.381,0.00000,nacional
Mini Fabrica - 10,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-19.675,0.00000,nacional
Mini Fabrica - 10,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,96142,CAMEL 1165/BISCOITO,,-8.474,0.00000,nacional
Mini Fabrica - 10,188721,"TECIDO MARAGOGI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,32908,PRETO 01/CINZA/PRETO 01,,-2.816,0.00000,nacional
Mini Fabrica - 10,188721,"TECIDO MARAGOGI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,93368,MARINHO 1128/CINZA/PRETO 01,,-4.216,0.00000,nacional
Mini Fabrica - 10,192017,CAMURCAO LONDON PU 1.2(M O/I 2016)+TECIDO VELVET,,15758,PRETO 01/PRETO 01,,-0.322,0.00000,nacional
Mini Fabrica - 10,192734,TECIDO XANGAI(ACT O/I 25)+SARJA 7030/50,,15758,PRETO 01/PRETO 01,,-106.104,0.00000,nacional
Mini Fabrica - 10,201688,TECIDO GAIA (ACT O/I25),,16072,BRANCO 99,,-0.358,0.00000,nacional
Mini Fabrica - 10,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,16143,PRETO 01/PRETO 01/PRETO 01,,-18.056,0.00000,nacional
Mini Fabrica - 10,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,93518,MARINHO 1128/PRETO/PRETO,,-2.784,0.00000,nacional
Mini Fabrica - 10,202295,NAPA MICRO PERFUROS GALY P.U 1.0 (MD P/V 23/24)+CACHAREL SOFT,,29693,BEGE 435/BEGE 435,,-0.972,0.00000,nacional
Mini Fabrica - 10,204119,NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17)+FILME SC 50,,16072,BRANCO 99,,-1.434,0.00000,nacional
Mini Fabrica - 10,204339,TECIDO GAIA (ACT O/I25)+VELVET 0.50,,66355,CAMEL 778/CAPUCCINO,,-16.472,0.00000,nacional
Mini Fabrica - 16,25567,AVESSO VELUR,,3,PRETO,,-27.767,0.00000,nacional
Mini Fabrica - 16,92871,MALHA ADTERM MA 140P CONFORFLEX 650C,,23654,CRU 20,,-0.964,0.00000,nacional
Mini Fabrica - 16,93492,NYLON FREE SPORT (B P/V 17/18)+BASE FLEX 1.0,,37331,BRANCO OFF 526/BISCOITO,,-11.993,0.00000,nacional
Mini Fabrica - 16,101702,NAPA TURIM PU 1.0 (B P/V 15/16)+FILME TACK 40GR,,15745,PRETO 01,,-5.048,0.00000,nacional
Mini Fabrica - 16,101702,NAPA TURIM PU 1.0 (B P/V 15/16)+FILME TACK 40GR,,35312,BRANCO OFF 526,,-9.802,0.00000,nacional
Mini Fabrica - 16,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2019),,89673,TAN 1080,,-1.353,0.00000,nacional
Mini Fabrica - 16,140345,NAPA BERLIM PU 1.2- IMPORTADO,,100196,AVELA 1248,,-7.428,0.00000,nacional
Mini Fabrica - 16,162659,NAPA GENEBRA PU 1.2 (B O/I 2020)+CACHAREL SOFT,,73437,CAFE 856/PRETO 01,,-12.166,0.00000,nacional
Mini Fabrica - 16,168873,NAPA CALF PU 0.9 ( P/V 24/25),,107613,TERRACOTA 1477,,-5.4,0.00000,nacional
Mini Fabrica - 16,184017,NAPA GARDA PU 1.0 (V P/V 24/25)+TECIDO VELVET,,101646,CHOCOLATE 1271/PRETO,,-4.51,0.00000,nacional
Mini Fabrica - 16,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-11.88,0.00000,nacional
Mini Fabrica - 16,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,96142,CAMEL 1165/BISCOITO,,-1.98,0.00000,nacional
Mini Fabrica - 16,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,107628,OLIVE 1469/BISCOITO,,-0.66,0.00000,nacional
Mini Fabrica - 16,193461,BRILHO ITALIA PU 0.9 +FILME TACK 40 GR,,104337,BRONZE 1402,,-0.836,0.00000,nacional
Mini Fabrica - 16,195421,METALIZADO FLOATHER VENEZIA PU 0.9+VELVET+FORRO SOFT CONFORTO PU 0.7,,88632,DOURADO/CREME 516/BEGE 435,,-3.93,0.00000,nacional
Mini Fabrica - 16,195710,CAMURCAO LONDON PU 1.2 (V O/I 25)-IMPORTADO+FILME TACK 40GR,,101439,CACAU 1277,,-12.199,0.00000,nacional
Mini Fabrica - 16,195710,CAMURCAO LONDON PU 1.2 (V O/I 25)-IMPORTADO+FILME TACK 40GR,,106596,CARAMELO 1450,,-3.813,0.00000,nacional
Mini Fabrica - 16,196091,CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO+BASE FLEX,,101724,CACAU 1277/PRETO,,-66.473,0.00000,nacional
Mini Fabrica - 16,202643,NAPA SOFT MADRI PU 1.0 (V O/I 23/24)+BASE FLEX,,15787,PRETO 01/PRETO,,-0.81,0.00000,nacional
Mini Fabrica - 20,56577,FORRO MILANO PU 0.7(B O/I 2014),,107610,OLIVE 1469,,-2.724,0.00000,nacional
Mini Fabrica - 20,64664,FORRO FACHETE PVC 0.8 (B O/I 2015),,15745,PRETO 01,,-4.084,0.00000,nacional
Mini Fabrica - 20,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,83517,CREME 985,,-18.402,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,40278,BRANCO OFF 526/BRANCO 15/NATURAL,,-0.07,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,96674,CAMEL 1165/BRANCO 15/NATURAL,,-2.402,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,101878,CHOCOLATE 1271/PRETO 01/PRETO,,-0.181,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,108445,OLIVE 1469/BRANCO 15/NATURAL,,-0.586,0.00000,nacional
Mini Fabrica - 20,82290,GLITER MINI SHINE(M/MK O/I 17),,41,PRATA,,-8.093,0.00000,nacional
Mini Fabrica - 20,82290,GLITER MINI SHINE(M/MK O/I 17),,23146,OURO ROSADO,,-4.494,0.00000,nacional
Mini Fabrica - 20,135523,NAPA GENEBRA PU 1.2 (B O/I 2020) - IMPORTADO,,72374,CAFE 856,,-10.454,0.00000,nacional
Mini Fabrica - 20,140206,NAPA FLOATHER ZURIQUE PU 1.2- IMPORTADO,,15745,PRETO 01,,-12.858,0.00000,nacional
Mini Fabrica - 20,140345,NAPA BERLIM PU 1.2- IMPORTADO,,15745,PRETO 01,,-10.506,0.00000,nacional
Mini Fabrica - 20,140345,NAPA BERLIM PU 1.2- IMPORTADO,,83508,CAFE 987,,-9.624,0.00000,nacional
Mini Fabrica - 20,172898,NAPA FLOATHER ZURIQUE PU 1.2+TECIDO LECCE,,95740,CARAMELO 1170/CREME 516,,-21.012,0.00000,nacional
Mini Fabrica - 20,190938,NAPA TURIM CROCO MILAO PU 1.0 (B P/V 24/25),,15745,PRETO 01,,-1.5,0.00000,nacional
